חותמת זמן,מה הגיל שלך?,מה המגדר שלך ?,האם אתם מבלים את זמנכם ברשתות חברתיות ?,באיזה רשת חברתית את מבלים את עיקר זמנכם ? ,האם נחשפת לפרסומות ו/או קישורים ן/או סרטונים של ידוענים הקשורים לקנייה אונליין ברשתות החברתיות ?,"במידה וכן, באיזו תדירות אתה נכנס אליהם ?","במידה וכן, באיזו תדירות אתם מבצעים קנייה הנובעת מן הקישור/פרסומת ?","בערך, עבור כל קנייה כזאת מה הסכום שיוצא על המוצר ?","אם באפשרותך להעביר הלאה את הקישור/הפרסומת בכדי שגם אחרים יוכלו לקנות, היית עושה זאת ?"
5/9/2022 17:32:41,24,נקבה,"כן, לעיתים קרובות","וואטסאפ, פייסבוק, אינסטגרם, טוויטר",כן,מדי פעם,אף פעם לא,0,כן
5/9/2022 17:38:12,25,נקבה,"כן, לעיתים קרובות",וואטסאפ,כן,מדי פעם,אף פעם לא,400,כן
5/9/2022 21:45:07,49,נקבה,"כן, אבל לעיתים רחוקות","וואטסאפ, פייסבוק",כן,מדי פעם,אף פעם לא,50,לא
5/9/2022 16:01:38,15.5,נקבה,"כן, תמיד","אינסטגרם, טיקטוק",כן,תמיד,אף פעם לא,50,כן
5/9/2022 15:21:30,18,זכר,"כן, תמיד","וואטסאפ, אינסטגרם",כן,תמיד,אף פעם לא,50,לא
5/9/2022 17:37:59,20,נקבה,"כן, תמיד",וואטסאפ,כן,לעיתים קרובות,לעיתים קרובות,40,לא
5/9/2022 15:18:35,23,נקבה,"כן, תמיד","וואטסאפ, פייסבוק, אינסטגרם",כן,לעיתים קרובות,לעיתים קרובות,100,לא
5/9/2022 15:34:57,18,זכר,"כן, לעיתים קרובות",אינסטגרם,לא,לא נכנס אף פעם,לעיתים רחוקות,150,לא
5/9/2022 17:19:27,22,זכר,"כן, לעיתים קרובות","וואטסאפ, אינסטגרם",כן,לעיתים קרובות,לעיתים רחוקות,50,כן
5/9/2022 15:40:34,76,זכר,"כן, מדי פעם",וואטסאפ,כן,לעיתים קרובות,לעיתים רחוקות,450,לא
5/9/2022 15:27:45,14,נקבה,"כן, מדי פעם","וואטסאפ, טיקטוק",כן,לעיתים רחוקות,לעיתים רחוקות,39,לא
5/10/2022 13:32:58,14,זכר,"כן, לעיתים קרובות","וואטסאפ, אינסטגרם",כן,לעיתים רחוקות,לעיתים רחוקות,40,לא
5/9/2022 16:39:56,15,זכר,"כן, מדי פעם",אינסטגרם,כן,לעיתים רחוקות,לעיתים רחוקות,150,כן
5/9/2022 16:27:45,16,זכר,"כן, לעיתים קרובות","וואטסאפ, אינסטגרם",כן,לעיתים רחוקות,לעיתים רחוקות,20,כן
5/9/2022 15:19:18,17,זכר,"כן, לעיתים קרובות",וואטסאפ,כן,לעיתים רחוקות,לעיתים רחוקות,50,לא
5/9/2022 16:01:50,17,זכר,"כן, לעיתים קרובות","וואטסאפ, אינסטגרם, טוויטר, טלגרם",כן,לעיתים רחוקות,לעיתים רחוקות,100,לא
5/9/2022 15:16:31,18,זכר,"כן, תמיד","וואטסאפ, אינסטגרם",כן,לעיתים רחוקות,לעיתים רחוקות,280,לא
5/9/2022 15:36:40,18,זכר,"כן, לעיתים קרובות","וואטסאפ, אינסטגרם, טוויטר, טיקטוק",כן,לעיתים רחוקות,לעיתים רחוקות,300,לא
5/9/2022 17:19:04,18,זכר,"כן, מדי פעם","וואטסאפ, טלגרם",כן,לעיתים רחוקות,לעיתים רחוקות,25,כן
5/9/2022 16:14:39,19,זכר,"כן, לעיתים קרובות","וואטסאפ, אינסטגרם",כן,לעיתים רחוקות,לעיתים רחוקות,200,כן
